status,age_group,education,industry,location,ai_risk,years_of_experience,monthly_salary_(inr),date_recorded
Unemployed,18 To 24,Bachelors,Health,Bangalore,High,16.0,23500.0,2023-01-31
Unemployed,25_34,High School,Technology,Hyderabad,High,16.0,13100.0,2023-02-01
Employed,25_34,High School,Finance,Urban,High,2.0,134500.0,2023-02-02
Unemployed,45-54,Phd,Retail,Urban,Low,8.0,86800.0,2023-02-03
Employed,18-24,Masters,Finance,Bangalore,Medium,16.0,31200.0,2023-02-04
Employed,55+,Bachelors,Fintech,Bangalore,Low,16.0,106900.0,2023-02-05
Employed,18 To 24,Ph.D,Retail,Bangalore,High,16.0,93300.0,2023-02-06
Employed,18 To 24,High School,Fintech,Bangalore,Low,16.0,73500.0,2023-02-07
Unemployed,25_34,Diploma,Healthcare,Bangalore,High,9.0,21500.0,2023-02-08
Unemployed,18 To 24,High School,Finance,Bangalore,Medium,16.0,77200.0,2023-02-09
Employed,45-54,High School,Health,Bangalore,Low,3.0,77200.0,2023-02-10
Employed,25-34,Bachelor'S,Fintech,Delhi,Low,25.0,7700.0,2023-02-11
Unemployed,45-54,Masters,Tech,Hyderabad,Low,10.0,12900.0,2023-02-12
Employed,25-34,Phd,Retail,Bangalore,Moderate,1.0,31800.0,2023-02-13
Employed,25_34,High School,Health,Hyderabad,Medium,11.0,97900.0,2023-02-14
Unemployed,18-24,Phd,Fintech,Rural,Moderate,4.0,14200.0,2023-02-15
Unemployed,25_34,Phd,Retail,Suburban,High,17.0,106500.0,2023-02-16
Employed,25_34,Diploma,Education,Delhi,Low,16.0,39500.0,2023-02-17
Employed,55+,Master,Retail,Bangalore,High,30.0,126600.0,2023-02-18
Unemployed,18-24,Phd,Retail,Delhi,High,7.0,15700.0,2023-02-19
Employed,35 - 44,Bachelors,Finance,Delhi,High,27.0,115700.0,2023-02-20
Employed,18 To 24,High School,Retail,Mumbai,Low,16.0,18800.0,2023-02-21
Employed,45-54,Bachelors,Technology,Urban,Low,16.0,127400.0,2023-02-22
Employed,18 To 24,Ph.D,Finance,Mumbai,High,26.0,21600.0,2023-02-23
Unemployed,45-54,Masters,Healthcare,Delhi,Moderate,6.0,42100.0,2023-02-24
Employed,25_34,Masters,Education,Urban,Moderate,28.0,137400.0,2023-02-25
Employed,25_34,High School,Health,Bangalore,Low,16.0,77200.0,2023-02-26
Unemployed,18-24,High School,Retail,Suburban,High,16.0,83000.0,2023-02-27
Unemployed,18 To 24,Master,Health,Delhi,Low,24.0,126300.0,2023-02-28
Employed,25-34,Phd,Finance,Suburban,High,16.0,77200.0,2023-03-01
Unemployed,55+,Diploma,Retail,Suburban,Moderate,16.0,26300.0,2023-03-02
Unemployed,25-34,Masters,Education,Mumbai,Low,24.0,78900.0,2023-03-03
Unemployed,18 To 24,Diploma,Fintech,Bangalore,High,16.0,51000.0,2023-03-04
Employed,18-24,Phd,Technology,Urban,Moderate,16.0,48900.0,2023-03-05
Employed,45-54,Diploma,Retail,Urban,Moderate,16.0,113200.0,2023-03-06
Unemployed,18 To 24,Masters,Technology,Rural,Moderate,18.0,77200.0,2023-03-07
Unemployed,18-24,Ph.D,Retail,Bangalore,Moderate,16.0,77200.0,2023-03-08
Unemployed,45-54,Bachelor'S,Finance,Suburban,Moderate,17.0,57200.0,2023-03-09
Employed,45-54,Diploma,Health,Urban,High,16.0,84000.0,2023-03-10
Employed,25-34,Bachelors,Retail,Rural,Low,16.0,63700.0,2023-03-11
Unemployed,25-34,Ph.D,Retail,Bangalore,Low,16.0,90500.0,2023-03-12
Employed,35 - 44,High School,Retail,Bangalore,Moderate,15.0,33400.0,2023-03-13
Employed,25-34,Ph.D,Fintech,Bangalore,Low,12.0,77200.0,2023-03-14
Unemployed,45-54,Diploma,Fintech,Rural,High,20.0,130700.0,2023-03-15
Unemployed,18 To 24,High School,Retail,Delhi,Medium,16.0,90000.0,2023-03-16
Unemployed,25_34,High School,Retail,Urban,High,27.0,142200.0,2023-03-17
Unemployed,18 To 24,Masters,Finance,Suburban,Low,16.0,125800.0,2023-03-18
Employed,25_34,Bachelors,Technology,Urban,Medium,16.0,77200.0,2023-03-19
Unemployed,35 - 44,High School,Education,Mumbai,High,16.0,100200.0,2023-03-20
Unemployed,18 To 24,Master,Tech,Suburban,Low,16.0,140200.0,2023-03-21
Employed,25-34,Bachelor'S,Education,Delhi,Low,16.0,17900.0,2023-03-22
Employed,25_34,Bachelors,Health,Hyderabad,High,22.0,79100.0,2023-03-23
Unemployed,18-24,Masters,Tech,Rural,Low,16.0,77200.0,2023-03-24
Employed,18-24,High School,Health,Suburban,Medium,4.0,46100.0,2023-03-25
Employed,25_34,Diploma,Finance,Mumbai,High,26.0,120100.0,2023-03-26
Employed,55+,Bachelors,Tech,Bangalore,Moderate,16.0,135100.0,2023-03-27
Unemployed,55+,Bachelors,Retail,Delhi,Low,16.0,56300.0,2023-03-28
Unemployed,25-34,Phd,Retail,Suburban,High,16.0,105400.0,2023-03-29
Employed,55+,Bachelors,Fintech,Delhi,High,12.0,148700.0,2023-03-30
Employed,35 - 44,Bachelors,Fintech,Hyderabad,Low,26.0,88400.0,2023-03-31
Employed,45-54,Diploma,Finance,Bangalore,High,16.0,124600.0,2023-04-01
Employed,35 - 44,Bachelor'S,Fintech,Hyderabad,Medium,20.0,19000.0,2023-04-02
Employed,35 - 44,Master,Retail,Bangalore,High,21.0,66200.0,2023-04-03
Employed,18 To 24,Phd,Education,Mumbai,High,16.0,81600.0,2023-04-04
Employed,25_34,High School,Health,Urban,Low,16.0,77200.0,2023-04-05
Unemployed,25_34,Ph.D,Fintech,Hyderabad,Low,26.0,77200.0,2023-04-06
Employed,25-34,Diploma,Healthcare,Hyderabad,Medium,16.0,77200.0,2023-04-07
Employed,25_34,Ph.D,Retail,Urban,High,2.0,8900.0,2023-04-08
Unemployed,25-34,Diploma,Retail,Hyderabad,High,16.0,124300.0,2023-04-09
Employed,45-54,Ph.D,Health,Bangalore,Low,12.0,141400.0,2023-04-10
Employed,18 To 24,Phd,Tech,Bangalore,High,16.0,50600.0,2023-04-11
Employed,45-54,Bachelors,Technology,Delhi,Medium,25.0,76500.0,2023-04-12
Unemployed,25-34,High School,Retail,Mumbai,Moderate,16.0,77200.0,2023-04-13
Employed,18 To 24,Diploma,Healthcare,Rural,Moderate,16.0,44200.0,2023-04-14
Employed,45-54,Bachelors,Retail,Urban,High,0.0,137100.0,2023-04-15
Employed,18-24,Master,Health,Urban,High,16.0,77200.0,2023-04-16
Unemployed,25-34,Bachelors,Health,Urban,Low,16.0,73800.0,2023-04-17
Employed,25-34,Master,Retail,Urban,Low,16.0,77200.0,2023-04-18
Employed,18 To 24,Diploma,Tech,Delhi,High,16.0,40300.0,2023-04-19
Employed,18-24,Masters,Healthcare,Mumbai,Medium,26.0,25900.0,2023-04-20
Employed,25_34,Bachelors,Education,Bangalore,High,5.0,68500.0,2023-04-21
Unemployed,35 - 44,Ph.D,Finance,Delhi,Low,28.0,44700.0,2023-04-22
Unemployed,18 To 24,Phd,Health,Urban,High,10.0,20200.0,2023-04-23
Employed,25-34,Bachelors,Retail,Urban,Medium,1.0,130200.0,2023-04-24
Employed,25-34,Masters,Education,Suburban,Low,15.0,7600.0,2023-04-25
Unemployed,45-54,High School,Finance,Delhi,Low,16.0,109500.0,2023-04-26
Employed,25-34,Phd,Retail,Urban,Low,16.0,26900.0,2023-04-27
Employed,35 - 44,High School,Technology,Rural,Low,7.0,21000.0,2023-04-28
Employed,25_34,Bachelors,Finance,Urban,Medium,16.0,5400.0,2023-04-29
Employed,18 To 24,Phd,Retail,Mumbai,High,16.0,35200.0,2023-04-30
Employed,18-24,Masters,Healthcare,Suburban,Moderate,16.0,77200.0,2023-05-01
Employed,45-54,Phd,Tech,Hyderabad,High,18.0,10500.0,2023-05-02
Employed,45-54,High School,Healthcare,Urban,High,0.0,123100.0,2023-05-03
Employed,18 To 24,High School,Technology,Mumbai,Medium,8.0,43400.0,2023-05-04
Employed,45-54,Bachelors,Finance,Bangalore,Medium,20.0,79000.0,2023-05-05
Employed,25_34,Diploma,Education,Urban,High,16.0,125300.0,2023-05-06
Unemployed,25_34,Ph.D,Tech,Urban,Medium,23.0,11500.0,2023-05-07
Unemployed,55+,Phd,Technology,Bangalore,Medium,16.0,77200.0,2023-05-08
Employed,18 To 24,High School,Health,Bangalore,Low,6.0,77200.0,2023-05-09
Unemployed,35 - 44,High School,Retail,Hyderabad,Moderate,16.0,23500.0,2023-05-10
Unemployed,18 To 24,Bachelor'S,Education,Delhi,High,16.0,54800.0,2023-05-11
Employed,35 - 44,Bachelors,Fintech,Bangalore,Medium,16.0,140000.0,2023-05-12
Unemployed,18 To 24,Master,Fintech,Urban,Low,16.0,77200.0,2023-05-13
Employed,45-54,High School,Retail,Urban,High,16.0,110800.0,2023-05-14
Employed,25_34,Masters,Finance,Suburban,High,11.0,67000.0,2023-05-15
Employed,25_34,High School,Finance,Bangalore,High,16.0,109800.0,2023-05-16
Employed,45-54,Phd,Healthcare,Urban,Low,16.0,77200.0,2023-05-17
Employed,18 To 24,Bachelor'S,Retail,Bangalore,High,18.0,77200.0,2023-05-18
Unemployed,35 - 44,Masters,Retail,Mumbai,Medium,16.0,65300.0,2023-05-19
Employed,35 - 44,High School,Technology,Urban,Low,16.0,76500.0,2023-05-20
Employed,25-34,Bachelors,Technology,Hyderabad,Low,5.0,141000.0,2023-05-21
Employed,18-24,Diploma,Healthcare,Delhi,High,16.0,8000.0,2023-05-22
Unemployed,25_34,Bachelors,Health,Bangalore,High,16.0,52800.0,2023-05-23
Employed,25_34,Bachelors,Education,Suburban,High,16.0,96300.0,2023-05-24
Employed,18 To 24,Bachelors,Retail,Bangalore,High,0.0,103700.0,2023-05-25
Employed,25_34,Bachelors,Education,Rural,Low,16.0,100700.0,2023-05-26
Unemployed,18 To 24,Masters,Fintech,Urban,High,17.0,122200.0,2023-05-27
Unemployed,25-34,High School,Fintech,Bangalore,Moderate,16.0,77200.0,2023-05-28
Employed,25-34,Bachelors,Healthcare,Rural,High,16.0,22700.0,2023-05-29
Employed,18 To 24,Phd,Healthcare,Urban,Medium,28.0,77200.0,2023-05-30
Unemployed,18-24,Bachelor'S,Tech,Bangalore,Moderate,16.0,89900.0,2023-05-31
Employed,18-24,Master,Retail,Delhi,Low,30.0,65200.0,2023-06-01
Employed,18-24,High School,Health,Delhi,High,16.0,77200.0,2023-06-02
Employed,25-34,Diploma,Retail,Hyderabad,High,16.0,97100.0,2023-06-03
Employed,18 To 24,High School,Education,Bangalore,High,5.0,40400.0,2023-06-04
Employed,18 To 24,Masters,Retail,Suburban,High,16.0,102600.0,2023-06-05
Unemployed,55+,Master,Retail,Urban,High,16.0,125900.0,2023-06-06
Unemployed,25_34,Bachelors,Fintech,Bangalore,High,5.0,135500.0,2023-06-07
Employed,55+,Master,Education,Rural,Medium,16.0,77200.0,2023-06-08
Employed,25_34,Bachelors,Education,Hyderabad,High,0.0,22400.0,2023-06-09
Unemployed,45-54,Bachelors,Health,Bangalore,Moderate,16.0,50000.0,2023-06-10
Employed,55+,Bachelor'S,Health,Urban,High,16.0,81200.0,2023-06-11
Employed,55+,Masters,Retail,Bangalore,High,16.0,119200.0,2023-06-12
Employed,35 - 44,Diploma,Retail,Hyderabad,High,16.0,106600.0,2023-06-13
Employed,18 To 24,Masters,Health,Mumbai,Moderate,3.0,44700.0,2023-06-14
Employed,25-34,Diploma,Education,Bangalore,Moderate,19.0,37600.0,2023-06-15
Unemployed,18-24,Bachelors,Health,Hyderabad,High,16.0,131300.0,2023-06-16
Employed,18 To 24,Phd,Education,Suburban,Medium,16.0,118300.0,2023-06-17
Employed,25_34,Ph.D,Retail,Urban,Low,16.0,75300.0,2023-06-18
Unemployed,55+,Diploma,Technology,Bangalore,High,19.0,53300.0,2023-06-19
Unemployed,18-24,Bachelors,Health,Urban,Low,16.0,88400.0,2023-06-20
Unemployed,55+,Master,Education,Mumbai,Low,19.0,110800.0,2023-06-21
Unemployed,55+,Bachelors,Education,Hyderabad,Low,28.0,115100.0,2023-06-22
Employed,25_34,Bachelors,Education,Hyderabad,High,9.0,11800.0,2023-06-23
Employed,55+,High School,Retail,Bangalore,High,16.0,41000.0,2023-06-24
Unemployed,35 - 44,Ph.D,Retail,Urban,High,23.0,16400.0,2023-06-25
Unemployed,18 To 24,Masters,Tech,Hyderabad,Low,18.0,80100.0,2023-06-26
Unemployed,25_34,High School,Retail,Urban,High,26.0,77200.0,2023-06-27
Unemployed,45-54,Bachelors,Retail,Urban,High,16.0,21200.0,2023-06-28
Unemployed,18-24,High School,Technology,Urban,Low,16.0,12500.0,2023-06-29
Unemployed,45-54,Phd,Retail,Suburban,High,16.0,70700.0,2023-06-30
Unemployed,18-24,High School,Retail,Suburban,Low,29.0,96000.0,2023-07-01
Employed,18-24,Masters,Health,Suburban,Low,16.0,123200.0,2023-07-02
Employed,25-34,Master,Retail,Suburban,High,16.0,77200.0,2023-07-03
Unemployed,35 - 44,Ph.D,Healthcare,Urban,Medium,5.0,54200.0,2023-07-04
Unemployed,55+,Masters,Healthcare,Suburban,Medium,16.0,24000.0,2023-07-05
Unemployed,55+,Bachelor'S,Health,Rural,High,16.0,65100.0,2023-07-06
Employed,25-34,Masters,Retail,Suburban,High,16.0,85900.0,2023-07-07
Employed,18 To 24,Bachelor'S,Health,Suburban,High,16.0,67000.0,2023-07-08
Unemployed,55+,Bachelor'S,Finance,Mumbai,Moderate,16.0,114100.0,2023-07-09
Employed,25-34,High School,Education,Mumbai,Medium,16.0,30100.0,2023-07-10
Unemployed,18 To 24,Bachelor'S,Technology,Bangalore,Low,17.0,139100.0,2023-07-11
Unemployed,18 To 24,High School,Retail,Rural,High,16.0,140500.0,2023-07-12
Unemployed,18 To 24,Bachelors,Health,Hyderabad,Low,16.0,60500.0,2023-07-13
Employed,18-24,High School,Tech,Delhi,Low,16.0,58000.0,2023-07-14
Employed,18 To 24,Diploma,Finance,Mumbai,Moderate,24.0,118200.0,2023-07-15
Employed,18-24,High School,Tech,Mumbai,High,29.0,77200.0,2023-07-16
Employed,45-54,Bachelor'S,Finance,Urban,High,24.0,96400.0,2023-07-17
Employed,25-34,Bachelor'S,Technology,Suburban,Medium,14.0,77200.0,2023-07-18
Unemployed,18 To 24,Master,Retail,Delhi,High,16.0,77200.0,2023-07-19
Employed,55+,Diploma,Education,Urban,Low,16.0,116300.0,2023-07-20
Employed,45-54,Bachelor'S,Retail,Bangalore,Medium,29.0,77200.0,2023-07-21
Employed,18-24,Bachelors,Education,Mumbai,Medium,16.0,66400.0,2023-07-22
Employed,25-34,Diploma,Fintech,Mumbai,Medium,13.0,32900.0,2023-07-23
Unemployed,35 - 44,Bachelors,Health,Urban,Medium,16.0,125900.0,2023-07-24
Employed,18-24,Bachelors,Retail,Urban,Moderate,22.0,82700.0,2023-07-25
Employed,55+,Bachelors,Retail,Bangalore,High,6.0,77200.0,2023-07-26
Unemployed,35 - 44,Bachelors,Retail,Rural,High,28.0,102300.0,2023-07-27
Employed,25_34,Phd,Health,Delhi,High,16.0,121300.0,2023-07-28
Employed,18-24,Phd,Education,Bangalore,Low,20.0,64500.0,2023-07-29
Unemployed,25-34,Diploma,Retail,Urban,Low,16.0,75200.0,2023-07-30
Unemployed,45-54,Bachelor'S,Health,Rural,Moderate,11.0,74200.0,2023-07-31
Unemployed,55+,Masters,Tech,Suburban,Moderate,18.0,127100.0,2023-08-01
Employed,25-34,High School,Education,Rural,High,14.0,68600.0,2023-08-02
Employed,25-34,Diploma,Health,Delhi,High,16.0,77200.0,2023-08-03
Employed,25_34,Phd,Technology,Mumbai,High,16.0,37700.0,2023-08-04
Employed,35 - 44,Bachelor'S,Health,Delhi,Low,16.0,76000.0,2023-08-05
Employed,18 To 24,Phd,Education,Delhi,High,24.0,77200.0,2023-08-06
Employed,55+,Ph.D,Education,Hyderabad,High,21.0,31500.0,2023-08-07
Unemployed,25_34,Bachelors,Healthcare,Rural,Low,16.0,126700.0,2023-08-08
Unemployed,55+,Ph.D,Finance,Hyderabad,High,0.0,77200.0,2023-08-09
Employed,35 - 44,Diploma,Tech,Mumbai,Low,13.0,6500.0,2023-08-10
Employed,45-54,Bachelors,Retail,Hyderabad,High,16.0,45500.0,2023-08-11
Employed,18-24,Bachelor'S,Retail,Hyderabad,Medium,20.0,22300.0,2023-08-12
Employed,18 To 24,Bachelors,Technology,Urban,High,16.0,6500.0,2023-08-13
Unemployed,45-54,High School,Health,Urban,High,16.0,77200.0,2023-08-14
Employed,25_34,Master,Technology,Hyderabad,High,27.0,77200.0,2023-08-15
Unemployed,18 To 24,Bachelors,Retail,Urban,High,22.0,107400.0,2023-08-16
Unemployed,18 To 24,Bachelor'S,Technology,Bangalore,Low,16.0,83800.0,2023-08-17
Unemployed,18 To 24,High School,Retail,Delhi,High,25.0,70400.0,2023-08-18
Employed,25_34,Ph.D,Tech,Hyderabad,Low,2.0,105700.0,2023-08-19
Unemployed,35 - 44,Diploma,Retail,Mumbai,Moderate,10.0,11300.0,2023-08-20
Employed,25-34,High School,Education,Bangalore,Moderate,16.0,77200.0,2023-08-21
Unemployed,45-54,Bachelors,Healthcare,Urban,High,22.0,77200.0,2023-08-22
Unemployed,18 To 24,Bachelor'S,Finance,Delhi,High,7.0,17600.0,2023-08-23
Unemployed,18 To 24,Master,Retail,Urban,Moderate,16.0,8000.0,2023-08-24
Employed,18 To 24,Masters,Finance,Delhi,High,29.0,77200.0,2023-08-25
Employed,45-54,Bachelors,Education,Mumbai,Low,28.0,7100.0,2023-08-26
Unemployed,18-24,Ph.D,Tech,Bangalore,Low,27.0,35500.0,2023-08-27
Unemployed,45-54,Phd,Finance,Bangalore,Low,0.0,96600.0,2023-08-28
Employed,45-54,Ph.D,Tech,Bangalore,High,16.0,136200.0,2023-08-29
Employed,18 To 24,Masters,Healthcare,Bangalore,High,15.0,35100.0,2023-08-30
Unemployed,18 To 24,Bachelor'S,Education,Mumbai,High,16.0,39900.0,2023-08-31
Employed,18 To 24,Diploma,Retail,Bangalore,High,16.0,77600.0,2023-09-01
Employed,18-24,Masters,Retail,Delhi,High,7.0,15000.0,2023-09-02
Employed,18 To 24,Bachelor'S,Healthcare,Urban,Low,16.0,92500.0,2023-09-03
Unemployed,25-34,Masters,Healthcare,Rural,High,16.0,106800.0,2023-09-04
Unemployed,18 To 24,Bachelors,Tech,Urban,Medium,16.0,79900.0,2023-09-05
Employed,25_34,Bachelor'S,Fintech,Bangalore,Moderate,16.0,125300.0,2023-09-06
Unemployed,25-34,Bachelor'S,Fintech,Hyderabad,High,16.0,77200.0,2023-09-07
Unemployed,25-34,Master,Tech,Hyderabad,Medium,23.0,102200.0,2023-09-08
Employed,45-54,Bachelors,Retail,Urban,High,16.0,82300.0,2023-09-09
Employed,25-34,Ph.D,Healthcare,Mumbai,Low,23.0,102800.0,2023-09-10
Employed,18-24,Bachelors,Education,Suburban,High,17.0,84100.0,2023-09-11
Employed,18 To 24,Master,Health,Hyderabad,Low,6.0,68500.0,2023-09-12
Unemployed,18 To 24,High School,Fintech,Hyderabad,Medium,16.0,77200.0,2023-09-13
Employed,18-24,Bachelor'S,Tech,Suburban,Moderate,1.0,126900.0,2023-09-14
Employed,18 To 24,High School,Retail,Urban,Moderate,6.0,120300.0,2023-09-15
Employed,18 To 24,Master,Tech,Urban,Low,16.0,37000.0,2023-09-16
Employed,25_34,Phd,Retail,Bangalore,High,16.0,119400.0,2023-09-17
Employed,18 To 24,Ph.D,Healthcare,Rural,High,30.0,144200.0,2023-09-18
Employed,18 To 24,Bachelors,Finance,Bangalore,Moderate,29.0,37500.0,2023-09-19
Employed,35 - 44,Diploma,Health,Bangalore,Medium,16.0,26100.0,2023-09-20
Unemployed,35 - 44,Master,Finance,Bangalore,High,3.0,104000.0,2023-09-21
Employed,45-54,High School,Education,Bangalore,High,6.0,66200.0,2023-09-22
Unemployed,18 To 24,Diploma,Fintech,Bangalore,Moderate,8.0,106700.0,2023-09-23
Unemployed,55+,Bachelors,Fintech,Hyderabad,Medium,5.0,88000.0,2023-09-24
Employed,25-34,Bachelors,Tech,Hyderabad,High,26.0,103000.0,2023-09-25
Employed,18-24,Ph.D,Retail,Suburban,High,13.0,114200.0,2023-09-26
Employed,25_34,Phd,Retail,Suburban,Low,16.0,8900.0,2023-09-27
Employed,45-54,Ph.D,Health,Rural,Moderate,16.0,44300.0,2023-09-28
Employed,18 To 24,Ph.D,Tech,Bangalore,Low,16.0,104400.0,2023-09-29
Unemployed,45-54,Ph.D,Retail,Bangalore,High,0.0,77200.0,2023-09-30
Employed,18 To 24,Diploma,Retail,Urban,High,14.0,129800.0,2023-10-01
Employed,25_34,Bachelors,Retail,Mumbai,High,16.0,66100.0,2023-10-02
Employed,18-24,Bachelors,Finance,Bangalore,Low,16.0,114500.0,2023-10-03
Unemployed,18 To 24,High School,Retail,Mumbai,Low,16.0,112900.0,2023-10-04
Employed,18-24,Ph.D,Retail,Mumbai,Low,3.0,88300.0,2023-10-05
Employed,18 To 24,Bachelor'S,Retail,Rural,High,16.0,34400.0,2023-10-06
Employed,25_34,High School,Retail,Delhi,Low,26.0,144200.0,2023-10-07
Employed,45-54,Bachelors,Tech,Suburban,Low,16.0,8700.0,2023-10-08
Unemployed,18-24,Masters,Tech,Urban,Moderate,16.0,13900.0,2023-10-09
Unemployed,18-24,Bachelors,Healthcare,Bangalore,Low,4.0,77200.0,2023-10-10
Unemployed,25_34,High School,Fintech,Mumbai,High,16.0,77200.0,2023-10-11
Employed,18 To 24,Bachelors,Fintech,Urban,High,17.0,78200.0,2023-10-12
Unemployed,45-54,Diploma,Tech,Bangalore,High,16.0,135100.0,2023-10-13
Unemployed,18-24,Bachelors,Education,Urban,Moderate,16.0,77200.0,2023-10-14
Employed,35 - 44,Ph.D,Retail,Suburban,Low,16.0,77200.0,2023-10-15
Employed,55+,Phd,Fintech,Suburban,Medium,7.0,109300.0,2023-10-16
Unemployed,25-34,Diploma,Retail,Delhi,High,16.0,57800.0,2023-10-17
Employed,25_34,Masters,Retail,Mumbai,High,16.0,77200.0,2023-10-18
Employed,18 To 24,Bachelors,Health,Bangalore,High,16.0,113000.0,2023-10-19
Employed,25-34,Bachelor'S,Retail,Delhi,High,16.0,32100.0,2023-10-20
Unemployed,18-24,High School,Fintech,Mumbai,Low,3.0,12600.0,2023-10-21
Employed,25_34,Diploma,Retail,Hyderabad,High,16.0,71800.0,2023-10-22
Unemployed,25_34,Phd,Technology,Hyderabad,Low,22.0,77200.0,2023-10-23
Employed,25_34,Ph.D,Tech,Urban,Moderate,16.0,101500.0,2023-10-24
Employed,25_34,Master,Health,Bangalore,High,30.0,30500.0,2023-10-25
Employed,18 To 24,Bachelor'S,Healthcare,Suburban,Low,12.0,78300.0,2023-10-26
Unemployed,18-24,Masters,Retail,Urban,High,24.0,98200.0,2023-10-27
Employed,45-54,Bachelor'S,Education,Suburban,High,22.0,105000.0,2023-10-28
Unemployed,25_34,Phd,Health,Urban,High,21.0,141700.0,2023-10-29
Employed,35 - 44,Bachelors,Fintech,Suburban,High,16.0,146900.0,2023-10-30
Employed,55+,Bachelors,Retail,Urban,Medium,16.0,22100.0,2023-10-31
Employed,45-54,High School,Health,Hyderabad,High,13.0,83800.0,2023-11-01
Unemployed,18-24,Phd,Retail,Delhi,Medium,16.0,133600.0,2023-11-02
Employed,18-24,High School,Retail,Rural,Low,15.0,102800.0,2023-11-03
Employed,45-54,Ph.D,Finance,Urban,High,25.0,89300.0,2023-11-04
Unemployed,25-34,Master,Healthcare,Urban,Low,16.0,61200.0,2023-11-05
Unemployed,18 To 24,Bachelors,Technology,Delhi,High,2.0,108300.0,2023-11-06
Unemployed,25_34,High School,Retail,Urban,High,16.0,128500.0,2023-11-07
Employed,18-24,Phd,Retail,Urban,High,16.0,117600.0,2023-11-08
Employed,25-34,High School,Retail,Rural,Medium,16.0,21400.0,2023-11-09
Unemployed,35 - 44,Bachelors,Technology,Urban,Low,6.0,137300.0,2023-11-10
Unemployed,55+,Phd,Fintech,Bangalore,Low,16.0,62300.0,2023-11-11
Employed,18-24,High School,Health,Mumbai,High,15.0,88500.0,2023-11-12
Unemployed,18 To 24,High School,Education,Bangalore,Low,16.0,77200.0,2023-11-13
Unemployed,25-34,Phd,Fintech,Hyderabad,Low,23.0,141200.0,2023-11-14
Unemployed,18 To 24,Master,Finance,Bangalore,Low,16.0,142300.0,2023-11-15
Employed,25_34,Ph.D,Education,Mumbai,Low,1.0,115000.0,2023-11-16
Unemployed,55+,Masters,Tech,Bangalore,High,21.0,77200.0,2023-11-17
Employed,45-54,Phd,Fintech,Suburban,Moderate,0.0,89600.0,2023-11-18
Unemployed,35 - 44,Masters,Education,Suburban,Moderate,0.0,42700.0,2023-11-19
Employed,25_34,Bachelor'S,Education,Mumbai,Low,18.0,77200.0,2023-11-20
Employed,55+,Masters,Fintech,Rural,Medium,25.0,38000.0,2023-11-21
Unemployed,18 To 24,High School,Healthcare,Delhi,Moderate,20.0,39800.0,2023-11-22
Employed,45-54,Bachelors,Retail,Hyderabad,Medium,1.0,31000.0,2023-11-23
